stfips,areatype,area,periodyear,periodtype,period,prelim,adjusted,weekending,initialclaim,cclaims,coveremp,insured
35,01,000000,2019,04,1 ,0,0,2019-01-05T00:00:00,1085,10067,783527,1.28
35,01,000000,2019,04,2 ,0,0,2019-01-12T00:00:00,1664,10191,786155,1.3
35,01,000000,2019,04,3 ,0,0,2019-01-19T00:00:00,1335,10096,786155,1.28
35,01,000000,2019,04,4 ,0,0,2019-01-26T00:00:00,897,10227,786155,1.3
35,01,000000,2019,04,5 ,0,0,2019-02-02T00:00:00,870,10337,786155,1.31
35,01,000000,2019,04,6 ,0,0,2019-02-09T00:00:00,819,10226,786155,1.3
35,01,000000,2019,04,7 ,0,0,2019-02-16T00:00:00,732,10009,786155,1.27
35,01,000000,2019,04,8 ,0,0,2019-02-23T00:00:00,676,10011,786155,1.27
35,01,000000,2019,04,9 ,0,0,2019-03-02T00:00:00,628,10033,786155,1.28
35,01,000000,2019,04,10,0,0,2019-03-09T00:00:00,682,9851,786155,1.25
35,01,000000,2019,04,11,0,0,2019-03-16T00:00:00,677,9622,786155,1.22
35,01,000000,2019,04,12,0,0,2019-03-23T00:00:00,837,9540,786155,1.21
35,01,000000,2019,04,13,0,0,2019-03-30T00:00:00,831,9539,786155,1.21
35,01,000000,2019,04,14,0,0,2019-04-06T00:00:00,874,9393,786155,1.19
35,01,000000,2019,04,15,0,0,2019-04-13T00:00:00,815,9146,789407,1.16
35,01,000000,2019,04,16,0,0,2019-04-20T00:00:00,687,8908,789407,1.13
35,01,000000,2019,04,17,0,0,2019-04-27T00:00:00,717,8919,789407,1.13
35,01,000000,2019,04,18,0,0,2019-05-04T00:00:00,693,8903,789407,1.13
35,01,000000,2019,04,19,0,0,2019-05-11T00:00:00,613,8740,789407,1.11
35,01,000000,2019,04,20,0,0,2019-05-18T00:00:00,784,8292,789407,1.05
35,01,000000,2019,04,21,0,0,2019-05-25T00:00:00,1031,8256,789407,1.05
35,01,000000,2019,04,22,0,0,2019-06-01T00:00:00,1235,8436,789407,1.07
35,01,000000,2019,04,23,0,0,2019-06-08T00:00:00,995,8982,789407,1.14
35,01,000000,2019,04,24,0,0,2019-06-15T00:00:00,786,8911,789407,1.13
35,01,000000,2019,04,25,0,0,2019-06-22T00:00:00,746,9060,789407,1.15
35,01,000000,2019,04,26,0,0,2019-06-29T00:00:00,671,8946,789407,1.13
35,01,000000,2019,04,27,0,0,2019-07-06T00:00:00,686,8683,789407,1.1
35,01,000000,2019,04,28,0,0,2019-07-13T00:00:00,823,8839,793201,1.11
35,01,000000,2019,04,29,0,0,2019-07-20T00:00:00,631,8303,793201,1.05
35,01,000000,2019,04,30,0,0,2019-07-27T00:00:00,634,8832,793201,1.11
35,01,000000,2019,04,31,0,0,2019-08-03T00:00:00,746,8657,793201,1.09
35,01,000000,2019,04,32,0,0,2019-08-10T00:00:00,687,8614,793201,1.09
35,01,000000,2019,04,33,0,0,2019-08-17T00:00:00,681,8238,793201,1.04
35,01,000000,2019,04,34,0,0,2019-08-24T00:00:00,668,7750,793201,0.98
35,01,000000,2019,04,35,0,0,2019-08-31T00:00:00,652,7512,793201,0.95
35,01,000000,2019,04,36,0,0,2019-09-07T00:00:00,680,7332,793201,0.92
35,01,000000,2019,04,37,0,0,2019-09-14T00:00:00,723,7466,793201,0.94
35,01,000000,2019,04,38,0,0,2019-09-21T00:00:00,681,7356,793201,0.93
35,01,000000,2019,04,39,0,0,2019-09-28T00:00:00,699,7455,793201,0.94
35,01,000000,2019,04,40,0,0,2019-10-05T00:00:00,948,7398,793201,0.93
35,01,000000,2019,04,41,0,0,2019-10-12T00:00:00,825,7606,796105,0.96
35,01,000000,2019,04,42,0,0,2019-10-19T00:00:00,843,7581,796105,0.95
35,01,000000,2019,04,43,0,0,2019-10-26T00:00:00,933,7724,796105,0.97
35,01,000000,2019,04,44,0,0,2019-11-02T00:00:00,928,7977,796105,1
35,01,000000,2019,04,45,0,0,2019-11-09T00:00:00,1008,8205,796105,1.03
35,01,000000,2019,04,46,0,0,2019-11-16T00:00:00,882,8449,796105,1.06
35,01,000000,2019,04,47,0,0,2019-11-23T00:00:00,928,8653,796105,1.09
35,01,000000,2019,04,48,0,0,2019-11-30T00:00:00,811,8736,796105,1.1
35,01,000000,2019,04,49,0,0,2019-12-07T00:00:00,1041,9270,796105,1.16
35,01,000000,2019,04,50,0,0,2019-12-14T00:00:00,939,9115,796105,1.14
35,01,000000,2019,04,51,0,0,2019-12-21T00:00:00,986,9271,796105,1.16
35,01,000000,2019,04,52,0,0,2019-12-28T00:00:00,1135,9232,796105,1.16
35,01,000000,2020,04,1 ,0,0,2020-01-04T00:00:00,799,10140,796105,1.27
35,01,000000,2020,04,2 ,0,0,2020-01-11T00:00:00,1194,10310,799085,1.29
35,01,000000,2020,04,3 ,0,0,2020-01-18T00:00:00,947,9920,799085,1.24
35,01,000000,2020,04,4 ,0,0,2020-01-25T00:00:00,764,10137,799085,1.27
35,01,000000,2020,04,5 ,0,0,2020-02-01T00:00:00,784,10066,799085,1.26
35,01,000000,2020,04,6 ,0,0,2020-02-08T00:00:00,873,9965,799085,1.25
35,01,000000,2020,04,7 ,0,0,2020-02-15T00:00:00,725,9987,799085,1.25
35,01,000000,2020,04,8 ,0,0,2020-02-22T00:00:00,737,10051,799085,1.26
35,01,000000,2020,04,9 ,0,0,2020-02-29T00:00:00,681,10039,799085,1.26
35,01,000000,2020,04,10,0,0,2020-03-07T00:00:00,690,9845,799085,1.23
35,01,000000,2020,04,11,0,0,2020-03-14T00:00:00,869,9566,799085,1.2
35,01,000000,2020,04,12,1,0,2020-03-21T00:00:00,18105,9288,799085,1.16
35,01,000000,2020,04,13,1,0,2020-03-28T00:00:00,27849,20087,799085,2.51
35,01,000000,2020,04,14,1,0,2020-04-04T00:00:00,26132,44829,799085,5.61
35,01,000000,2020,04,15,1,0,2020-04-11T00:00:00,19494,62686,802978,7.81
35,01,000000,2020,04,16,1,0,2020-04-18T00:00:00,13339,0,0,0
