key_0,N.S.A (Initial Claims),S.F.  (Initial Claims),S.A.  (Initial Claims),S.A. 4-Week  (Initial Claims),N.S.A (Continued Claims),S.F. (Continued Claims),S.A. (Continued Claims),S.A. 4-Week (Continued Claims),N.S.A (I.U.R),S.A. (I.U.R),Covered Employment (National),Initial Claims (California),Reflecting Week Ended (California),Continued Claims (California),Covered Employment (California),Insured Unemployment Rate (California),Confirmed (COVID-19),Recovered (COVID-19),Deaths (COVID-19),Regular (Gasoline Price) [$],Midgrade (Gasoline Price) [$],Premium (Gasoline Price) [$]
2020-01-04,335480.0,158.4,212000.0,219750.0,2249123.0,127.9,1759000.0,1744500.0,1.5,1.2,145230691.0,36720.0,2019-12-28,359606.0,17203829.0,2.09,,,,3.428,3.646,3.73
2020-01-11,338550.0,163.7,207000.0,214250.0,2141587.0,123.4,1735000.0,1749250.0,1.5,1.2,145230691.0,51993.0,2020-01-04,356376.0,17265039.0,2.06,,,,3.419,3.642,3.725
2020-01-18,282088.0,128.5,220000.0,214750.0,2079050.0,122.0,1704000.0,1743250.0,1.4,1.2,145230691.0,64858.0,2020-01-11,376947.0,17265039.0,2.18,,,,3.408,3.635,3.716
2020-01-25,229002.0,108.1,212000.0,212750.0,2152733.0,122.8,1753000.0,1737750.0,1.5,1.2,145230691.0,45596.0,2020-01-18,336269.0,17265039.0,1.95,2.0,0.0,0.0,3.388,3.609,3.703
2020-02-01,224664.0,111.5,201000.0,210000.0,2087525.0,124.4,1678000.0,1717500.0,1.4,1.2,145230691.0,43458.0,2020-01-25,388341.0,17265039.0,2.25,8.0,0.0,0.0,3.371,3.611,3.697
2020-02-08,219601.0,107.9,204000.0,209250.0,2099073.0,121.4,1729000.0,1716000.0,1.4,1.2,145230691.0,40392.0,2020-02-01,359156.0,17265039.0,2.08,11.0,0.0,0.0,3.366,3.604,3.687
2020-02-15,209336.0,97.4,215000.0,208000.0,2061355.0,121.8,1692000.0,1713000.0,1.4,1.2,145230691.0,43445.0,2020-02-08,375305.0,17265039.0,2.17,13.0,3.0,0.0,3.358,3.599,3.68
2020-02-22,198832.0,90.5,220000.0,210000.0,2103447.0,122.4,1719000.0,1704500.0,1.4,1.2,145230691.0,34979.0,2020-02-15,349252.0,17265039.0,2.02,15.0,5.0,0.0,3.36,3.592,3.683
2020-02-29,216605.0,99.8,217000.0,214000.0,2057280.0,121.1,1699000.0,1710250.0,1.4,1.2,145230691.0,41678.0,2020-02-22,369988.0,17265039.0,2.14,68.0,7.0,1.0,3.353,3.578,3.674
2020-03-07,,95.0,,,,116.2,,,,,,43385.0,2020-02-29,378864.0,17265039.0,2.19,402.0,7.0,17.0,3.325,3.543,3.632
2020-03-14,,89.3,,,,116.3,,,,,,57606.0,2020-03-07,351344.0,17265039.0,2.04,2727.0,12.0,54.0,3.222,3.443,3.523
2020-03-21,,88.3,,,,111.7,,,,,,,,,,,25489.0,176.0,307.0,3.066,3.308,3.352
2020-03-28,,87.6,,,,109.7,,,,,,,,,,,121478.0,1072.0,2026.0,,,
2020-04-04,,93.9,,,,104.6,,,,,,,,,,,,,,,,
2020-04-11,,94.8,,,,102.9,,,,,,,,,,,,,,,,
2020-04-18,,96.4,,,,98.8,,,,,,,,,,,,,,,,
2020-04-25,,90.9,,,,97.3,,,,,,,,,,,,,,,,
2020-05-02,,89.9,,,,92.6,,,,,,,,,,,,,,,,
2020-05-09,,87.7,,,,91.5,,,,,,,,,,,,,,,,
2020-05-16,,89.2,,,,90.5,,,,,,,,,,,,,,,,
2020-05-23,,90.2,,,,89.8,,,,,,,,,,,,,,,,
2020-05-30,,85.4,,,,90.4,,,,,,,,,,,,,,,,
2020-06-06,,99.7,,,,90.8,,,,,,,,,,,,,,,,
2020-06-13,,95.0,,,,91.8,,,,,,,,,,,,,,,,
2020-06-20,,98.5,,,,92.9,,,,,,,,,,,,,,,,
2020-06-27,,101.3,,,,93.0,,,,,,,,,,,,,,,,
2020-07-04,,106.5,,,,100.1,,,,,,,,,,,,,,,,
2020-07-11,,115.7,,,,101.2,,,,,,,,,,,,,,,,
2020-07-18,,96.8,,,,99.2,,,,,,,,,,,,,,,,
2020-07-25,,84.1,,,,98.4,,,,,,,,,,,,,,,,
2020-08-01,,83.0,,,,98.2,,,,,,,,,,,,,,,,
2020-08-08,,86.4,,,,96.1,,,,,,,,,,,,,,,,
2020-08-15,,80.6,,,,95.7,,,,,,,,,,,,,,,,
2020-08-22,,81.7,,,,93.3,,,,,,,,,,,,,,,,
2020-08-29,,81.7,,,,90.6,,,,,,,,,,,,,,,,
2020-09-05,,85.4,,,,86.0,,,,,,,,,,,,,,,,
2020-09-12,,74.4,,,,84.8,,,,,,,,,,,,,,,,
2020-09-19,,81.4,,,,82.8,,,,,,,,,,,,,,,,
2020-09-26,,79.7,,,,82.4,,,,,,,,,,,,,,,,
2020-10-03,,85.0,,,,81.3,,,,,,,,,,,,,,,,
2020-10-10,,93.9,,,,81.4,,,,,,,,,,,,,,,,
2020-10-17,,87.3,,,,83.6,,,,,,,,,,,,,,,,
2020-10-24,,91.6,,,,83.5,,,,,,,,,,,,,,,,
2020-10-31,,94.4,,,,85.0,,,,,,,,,,,,,,,,
2020-11-07,,105.2,,,,85.8,,,,,,,,,,,,,,,,
2020-11-14,,100.5,,,,90.9,,,,,,,,,,,,,,,,
2020-11-21,,117.8,,,,86.9,,,,,,,,,,,,,,,,
2020-11-28,,101.1,,,,100.4,,,,,,,,,,,,,,,,
2020-12-05,,138.5,,,,98.9,,,,,,,,,,,,,,,,
2020-12-12,,119.3,,,,104.8,,,,,,,,,,,,,,,,
2020-12-19,,127.2,,,,101.9,,,,,,,,,,,,,,,,
2020-12-26,,128.2,,,,115.0,,,,,,,,,,,,,,,,
2021-01-02,,154.2,,,,128.2,,,,,,,,,,,,,,,,
2021-01-09,,171.7,,,,124.6,,,,,,,,,,,,,,,,
2021-01-16,,130.5,,,,121.1,,,,,,,,,,,,,,,,
2021-01-23,,110.0,,,,123.9,,,,,,,,,,,,,,,,
2021-01-30,,114.5,,,,123.5,,,,,,,,,,,,,,,,
2021-02-06,,109.7,,,,122.3,,,,,,,,,,,,,,,,
2021-02-13,,99.5,,,,120.0,,,,,,,,,,,,,,,,
2021-02-20,,90.5,,,,124.4,,,,,,,,,,,,,,,,
2021-02-27,,98.6,,,,121.1,,,,,,,,,,,,,,,,
2021-03-06,,97.5,,,,117.5,,,,,,,,,,,,,,,,
2021-03-13,,90.1,,,,116.2,,,,,,,,,,,,,,,,
2021-03-20,,88.1,,,,113.1,,,,,,,,,,,,,,,,
2021-03-27,,88.3,,,,110.1,,,,,,,,,,,,,,,,
2021-04-03,,87.5,,,,106.1,,,,,,,,,,,,,,,,
