Date,DGS10 [%]
1/2/2018,2.46
1/3/2018,2.44
1/4/2018,2.46
1/5/2018,2.47
1/8/2018,2.49
1/9/2018,2.55
1/10/2018,2.55
1/11/2018,2.54
1/12/2018,2.55
1/16/2018,2.54
1/17/2018,2.57
1/18/2018,2.62
1/19/2018,2.64
1/22/2018,2.66
1/23/2018,2.63
1/24/2018,2.65
1/25/2018,2.63
1/26/2018,2.66
1/29/2018,2.70
1/30/2018,2.73
1/31/2018,2.72
2/1/2018,2.78
2/2/2018,2.84
2/5/2018,2.77
2/6/2018,2.79
2/7/2018,2.84
2/8/2018,2.85
2/9/2018,2.83
2/12/2018,2.86
2/13/2018,2.83
2/14/2018,2.91
2/15/2018,2.90
2/16/2018,2.87
2/20/2018,2.88
2/21/2018,2.94
2/22/2018,2.92
2/23/2018,2.88
2/26/2018,2.86
2/27/2018,2.90
2/28/2018,2.87
3/1/2018,2.81
3/2/2018,2.86
3/5/2018,2.88
3/6/2018,2.88
3/7/2018,2.89
3/8/2018,2.86
3/9/2018,2.90
3/12/2018,2.87
3/13/2018,2.84
3/14/2018,2.81
3/15/2018,2.82
3/16/2018,2.85
3/19/2018,2.85
3/20/2018,2.89
3/21/2018,2.89
3/22/2018,2.83
3/23/2018,2.82
3/26/2018,2.85
3/27/2018,2.78
3/28/2018,2.77
3/29/2018,2.74
4/2/2018,2.73
4/3/2018,2.79
4/4/2018,2.79
4/5/2018,2.83
4/6/2018,2.77
4/9/2018,2.78
4/10/2018,2.80
4/11/2018,2.79
4/12/2018,2.83
4/13/2018,2.82
4/16/2018,2.83
4/17/2018,2.82
4/18/2018,2.87
4/19/2018,2.92
4/20/2018,2.96
4/23/2018,2.98
4/24/2018,3.00
4/25/2018,3.03
4/26/2018,3.00
4/27/2018,2.96
4/30/2018,2.95
5/1/2018,2.97
5/2/2018,2.97
5/3/2018,2.94
5/4/2018,2.95
5/7/2018,2.95
5/8/2018,2.97
5/9/2018,3.00
5/10/2018,2.97
5/11/2018,2.97
5/14/2018,3.00
5/15/2018,3.08
5/16/2018,3.09
5/17/2018,3.11
5/18/2018,3.06
5/21/2018,3.06
5/22/2018,3.06
5/23/2018,3.01
5/24/2018,2.98
5/25/2018,2.93
5/29/2018,2.77
5/30/2018,2.84
5/31/2018,2.83
6/1/2018,2.89
6/4/2018,2.94
6/5/2018,2.92
6/6/2018,2.97
6/7/2018,2.93
6/8/2018,2.93
6/11/2018,2.96
6/12/2018,2.96
6/13/2018,2.98
6/14/2018,2.94
6/15/2018,2.93
6/18/2018,2.92
6/19/2018,2.89
6/20/2018,2.93
6/21/2018,2.90
6/22/2018,2.90
6/25/2018,2.87
6/26/2018,2.88
6/27/2018,2.83
6/28/2018,2.84
6/29/2018,2.85
7/2/2018,2.87
7/3/2018,2.83
7/5/2018,2.84
7/6/2018,2.82
7/9/2018,2.86
7/10/2018,2.87
7/11/2018,2.85
7/12/2018,2.85
7/13/2018,2.83
7/16/2018,2.85
7/17/2018,2.86
7/18/2018,2.88
7/19/2018,2.84
7/20/2018,2.89
7/23/2018,2.96
7/24/2018,2.95
7/25/2018,2.94
7/26/2018,2.98
7/27/2018,2.96
7/30/2018,2.98
7/31/2018,2.96
8/1/2018,3.00
8/2/2018,2.98
8/3/2018,2.95
8/6/2018,2.94
8/7/2018,2.98
8/8/2018,2.96
8/9/2018,2.93
8/10/2018,2.87
8/13/2018,2.88
8/14/2018,2.89
8/15/2018,2.86
8/16/2018,2.87
8/17/2018,2.87
8/20/2018,2.82
8/21/2018,2.85
8/22/2018,2.82
8/23/2018,2.82
8/24/2018,2.82
8/27/2018,2.85
8/28/2018,2.88
8/29/2018,2.89
8/30/2018,2.86
8/31/2018,2.86
9/4/2018,2.90
9/5/2018,2.90
9/6/2018,2.88
9/7/2018,2.94
9/10/2018,2.94
9/11/2018,2.98
9/12/2018,2.97
9/13/2018,2.97
9/14/2018,2.99
9/17/2018,2.99
9/18/2018,3.05
9/19/2018,3.08
9/20/2018,3.07
9/21/2018,3.07
9/24/2018,3.08
9/25/2018,3.10
9/26/2018,3.06
9/27/2018,3.06
9/28/2018,3.05
10/1/2018,3.09
10/2/2018,3.05
10/3/2018,3.15
10/4/2018,3.19
10/5/2018,3.23
10/9/2018,3.21
10/10/2018,3.22
10/11/2018,3.14
10/12/2018,3.15
10/15/2018,3.16
10/16/2018,3.16
10/17/2018,3.19
10/18/2018,3.17
10/19/2018,3.20
10/22/2018,3.20
10/23/2018,3.17
10/24/2018,3.10
10/25/2018,3.14
10/26/2018,3.08
10/29/2018,3.08
10/30/2018,3.12
10/31/2018,3.15
11/1/2018,3.14
11/2/2018,3.22
11/5/2018,3.20
11/6/2018,3.22
11/7/2018,3.22
11/8/2018,3.24
11/9/2018,3.19
11/13/2018,3.14
11/14/2018,3.12
11/15/2018,3.11
11/16/2018,3.08
11/19/2018,3.06
11/20/2018,3.06
11/21/2018,3.06
11/23/2018,3.05
11/26/2018,3.07
11/27/2018,3.06
11/28/2018,3.06
11/29/2018,3.03
11/30/2018,3.01
12/3/2018,2.98
12/4/2018,2.91
12/6/2018,2.87
12/7/2018,2.85
12/10/2018,2.85
12/11/2018,2.89
12/12/2018,2.91
12/13/2018,2.91
12/14/2018,2.89
12/17/2018,2.86
12/18/2018,2.82
12/19/2018,2.77
12/20/2018,2.79
12/21/2018,2.79
12/24/2018,2.74
12/26/2018,2.81
12/27/2018,2.77
12/28/2018,2.72
12/31/2018,2.69
1/2/2019,2.66
1/3/2019,2.56
1/4/2019,2.67
1/7/2019,2.70
1/8/2019,2.73
1/9/2019,2.74
1/10/2019,2.74
1/11/2019,2.71
1/14/2019,2.71
1/15/2019,2.72
1/16/2019,2.73
1/17/2019,2.75
1/18/2019,2.79
1/22/2019,2.74
1/23/2019,2.76
1/24/2019,2.72
1/25/2019,2.76
1/28/2019,2.75
1/29/2019,2.72
1/30/2019,2.70
1/31/2019,2.63
2/1/2019,2.70
2/4/2019,2.73
2/5/2019,2.71
2/6/2019,2.70
2/7/2019,2.65
2/8/2019,2.63
2/11/2019,2.65
2/12/2019,2.68
2/13/2019,2.71
2/14/2019,2.66
2/15/2019,2.66
2/19/2019,2.65
2/20/2019,2.65
2/21/2019,2.69
2/22/2019,2.65
2/25/2019,2.67
2/26/2019,2.64
2/27/2019,2.69
2/28/2019,2.73
3/1/2019,2.76
3/4/2019,2.72
3/5/2019,2.72
3/6/2019,2.69
3/7/2019,2.64
3/8/2019,2.62
3/11/2019,2.64
3/12/2019,2.61
3/13/2019,2.61
3/14/2019,2.63
3/15/2019,2.59
3/18/2019,2.60
3/19/2019,2.61
3/20/2019,2.54
3/21/2019,2.54
3/22/2019,2.44
3/25/2019,2.43
3/26/2019,2.41
3/27/2019,2.39
3/28/2019,2.39
3/29/2019,2.41
4/1/2019,2.49
4/2/2019,2.48
4/3/2019,2.52
4/4/2019,2.51
4/5/2019,2.50
4/8/2019,2.52
4/9/2019,2.51
4/10/2019,2.48
4/11/2019,2.51
4/12/2019,2.56
4/15/2019,2.55
4/16/2019,2.60
4/17/2019,2.59
4/18/2019,2.57
4/22/2019,2.59
4/23/2019,2.57
4/24/2019,2.53
4/25/2019,2.54
4/26/2019,2.51
4/29/2019,2.54
4/30/2019,2.51
5/1/2019,2.52
5/2/2019,2.55
5/3/2019,2.54
5/6/2019,2.51
5/7/2019,2.45
5/8/2019,2.49
5/9/2019,2.45
5/10/2019,2.47
5/13/2019,2.40
5/14/2019,2.42
5/15/2019,2.37
5/16/2019,2.40
5/17/2019,2.39
5/20/2019,2.41
5/21/2019,2.43
5/22/2019,2.39
5/23/2019,2.31
5/24/2019,2.32
5/28/2019,2.26
5/29/2019,2.25
5/30/2019,2.22
5/31/2019,2.14
6/3/2019,2.07
6/4/2019,2.12
6/5/2019,2.12
6/6/2019,2.12
6/7/2019,2.09
6/10/2019,2.15
6/11/2019,2.15
6/12/2019,2.13
6/13/2019,2.10
6/14/2019,2.09
6/17/2019,2.09
6/18/2019,2.06
6/19/2019,2.03
6/20/2019,2.01
6/21/2019,2.07
6/24/2019,2.02
6/25/2019,2.00
6/26/2019,2.05
6/27/2019,2.01
6/28/2019,2.00
7/1/2019,2.03
7/2/2019,1.98
7/3/2019,1.96
7/5/2019,2.04
7/8/2019,2.05
7/9/2019,2.07
7/10/2019,2.07
7/11/2019,2.13
7/12/2019,2.12
7/15/2019,2.09
7/16/2019,2.13
7/17/2019,2.06
7/18/2019,2.04
7/19/2019,2.05
7/22/2019,2.05
7/23/2019,2.08
7/24/2019,2.05
7/25/2019,2.08
7/26/2019,2.08
7/29/2019,2.06
7/30/2019,2.06
7/31/2019,2.02
8/1/2019,1.90
8/2/2019,1.86
8/5/2019,1.75
8/6/2019,1.73
8/7/2019,1.71
8/8/2019,1.72
8/9/2019,1.74
8/12/2019,1.65
8/13/2019,1.68
8/14/2019,1.59
8/15/2019,1.52
8/16/2019,1.55
8/19/2019,1.60
8/20/2019,1.55
8/21/2019,1.59
8/22/2019,1.62
8/23/2019,1.52
8/26/2019,1.54
8/27/2019,1.49
8/28/2019,1.47
8/29/2019,1.50
8/30/2019,1.50
9/3/2019,1.47
9/4/2019,1.47
9/5/2019,1.57
9/6/2019,1.55
9/9/2019,1.63
9/10/2019,1.72
9/11/2019,1.75
9/12/2019,1.79
9/13/2019,1.90
9/16/2019,1.84
9/17/2019,1.81
9/18/2019,1.80
9/19/2019,1.79
9/20/2019,1.74
9/23/2019,1.72
9/24/2019,1.64
9/25/2019,1.73
9/26/2019,1.70
9/27/2019,1.69
9/30/2019,1.68
10/1/2019,1.65
10/2/2019,1.60
10/3/2019,1.54
10/4/2019,1.52
10/7/2019,1.56
10/8/2019,1.54
10/9/2019,1.59
10/10/2019,1.67
10/11/2019,1.76
10/15/2019,1.77
10/16/2019,1.75
10/17/2019,1.76
10/18/2019,1.76
10/21/2019,1.80
10/22/2019,1.78
10/23/2019,1.77
10/24/2019,1.77
10/25/2019,1.80
10/28/2019,1.85
10/29/2019,1.84
10/30/2019,1.78
10/31/2019,1.69
11/1/2019,1.73
11/4/2019,1.79
11/5/2019,1.86
11/6/2019,1.81
11/7/2019,1.92
11/8/2019,1.94
11/12/2019,1.92
11/13/2019,1.88
11/14/2019,1.82
11/15/2019,1.84
11/18/2019,1.81
11/19/2019,1.79
11/20/2019,1.73
11/21/2019,1.77
11/22/2019,1.77
11/25/2019,1.76
11/26/2019,1.74
11/27/2019,1.77
11/29/2019,1.78
12/2/2019,1.83
12/3/2019,1.72
12/4/2019,1.77
12/5/2019,1.80
12/6/2019,1.84
12/9/2019,1.83
12/10/2019,1.85
12/11/2019,1.79
12/12/2019,1.90
12/13/2019,1.82
12/16/2019,1.89
12/17/2019,1.89
12/18/2019,1.92
12/19/2019,1.92
12/20/2019,1.92
12/23/2019,1.93
12/24/2019,1.90
12/26/2019,1.90
12/27/2019,1.88
12/30/2019,1.90
12/31/2019,1.92
1/2/2020,1.88
1/3/2020,1.80
1/6/2020,1.81
1/7/2020,1.83
1/8/2020,1.87
1/9/2020,1.85
1/10/2020,1.83
1/13/2020,1.85
1/14/2020,1.82
1/15/2020,1.79
1/16/2020,1.81
1/17/2020,1.84
1/21/2020,1.78
1/22/2020,1.77
1/23/2020,1.74
1/24/2020,1.70
1/27/2020,1.61
1/28/2020,1.65
1/29/2020,1.60
1/30/2020,1.57
1/31/2020,1.51
2/3/2020,1.54
2/4/2020,1.61
2/5/2020,1.66
2/6/2020,1.65
2/7/2020,1.59
2/10/2020,1.56
2/11/2020,1.59
2/12/2020,1.62
2/13/2020,1.61
2/14/2020,1.59
2/18/2020,1.55
2/19/2020,1.56
2/20/2020,1.52
2/21/2020,1.46
2/24/2020,1.38
2/25/2020,1.33
2/26/2020,1.33
2/27/2020,1.30
2/28/2020,1.13
3/2/2020,1.10
3/3/2020,1.02
3/4/2020,1.02
3/5/2020,0.92
3/6/2020,0.74
3/9/2020,0.54
3/10/2020,0.76
3/11/2020,0.82
3/12/2020,0.88
3/13/2020,0.94
3/16/2020,0.73
3/17/2020,1.02
3/18/2020,1.18
3/19/2020,1.12
3/20/2020,0.92
3/23/2020,0.76
3/24/2020,0.84
3/25/2020,0.88
3/26/2020,0.83
3/27/2020,0.72
3/30/2020,0.70
3/31/2020,0.70
4/1/2020,0.62
4/2/2020,0.63
